conflict_id,entity_ids
43063,"[[4689264, 3434750, 5042916, 76972, 11867, 21241, 21148, 4913064, 737, 11125639, 291717, 31717, 5843419], [389363, 737, 4512092]]"
46216,"[[9282173], [13093253, 12047, 24093, 53185055, 24324, 13913]]"
201936,"[[4689264, 679693, 3434750, 21148, 7515928, 22936, 70767, 70789, 25659771, 31717, 899044], [17633, 26215470, 199866, 285632, 2185, 7515849]]"
207031,"[[26215470], [3434750, 31717]]"
312905,"[[9282173, 2906001, 30488708, 1224174, 3462886], [6111879, 290310, 14653, 1285472, 15462262, 24324, 17771, 1266812, 13919, 24324], [1517643, 1780228, 39039263, 7515849], [3434750, 3279967, 17779, 787766, 31769, 14532, 17771, 5843419, 684077]]"
314792,"[[39237, 9282173], [13093253, 5844475, 40863691, 24093, 747345, 11104, 13913]]"
368054,"[[32350676, 1015555, 3434750, 76762, 31816, 31769, 52578782, 5478], [17873743, 27421]]"
401625,"[[3434750], [7515928, 29490]]"
405651,"[[1576797, 3434750, 32087], [7515928, 40596311]]"
472441,"[[13373], [13373, 489124], [3434750]]"
591689,"[[3434750], [748820, 40596311]]"
635918,"[[3434750], [3457, 31750, 26215470]]"
877492,"[[1405778, 1676875, 1199752, 676634, 3672179, 59537, 68306, 76762, 2671190, 17873743, 4581773, 1585376, 1258240], [245423, 1253897, 4422618, 21490998, 30870171, 67050, 29328, 25645, 31816, 1584559, 9450702]]"
881245,"[[3434750], [7515928, 40596311]]"
909500,"[[9282173, 3434750, 27019, 7515928], [7515928, 40596311, 7515849]]"
1101083,"[[78643, 32374, 174712, 286105], [32374, 409121]]"
1138374,"[[3434750, 7515928, 31717], [455441, 1088385, 12786576, 166957, 3285814, 40596311]]"
1145971,"[[3434750, 7515928], [40596311]]"
1147895,"[[3434750], [40596311]]"
1160495,"[[3434750, 7515928], [40596311]]"
1163969,"[[3434750, 7515928], [7515928, 40596311]]"
1164010,"[[3434750, 31717], [7515928, 26215470]]"
1165690,"[[3434750], [40596311]]"
1220919,"[[1576797, 4887, 3434750, 31717], [40596311]]"
1486011,"[[19457, 3454, 14533, 1241164, 451855, 2421391], [29358772, 2942891, 1335473, 43797145, 1416994, 39446246, 19580896, 20583872, 12241100, 53278971, 16293969, 46897180, 427063, 11962570, 642175, 3488351, 1486011, 2257545, 25380421, 41857550, 3771075, 32745522, 5140508, 43001917, 26232439, 23988695]]"
1585788,"[[1199752, 51097859, 1585481, 13787895, 1585376, 65758310], [1015555, 9317, 1585508, 4422618, 4498750, 8029, 76762, 2219252, 31816, 31769, 9450702]]"
1606497,"[[12186, 27278], [12186, 1071805, 100420, 22444319]]"
1928714,"[[1576797, 3434750], [40596311]]"
1939307,"[[1576797, 3434750], [40596311]]"
2069739,"[[1576797, 3434750], [40596311]]"
2069754,"[[1576797, 3434750], [40596311]]"
2204758,"[[5042916], [3434750]]"
2219252,"[[1585481], [15751180, 4422618], [31769, 1015555, 9317, 76762]]"
2243939,"[[3434750], [5405]]"
2929376,"[[817725, 25391], [3252889]]"
3154222,"[[5042916], [30635, 737]]"
3287804,"[[17684268], [8383270]]"
3362540,"[[1576797, 3434750, 7515928], [40596311]]"
3523983,"[[7575877, 66402699, 2081585, 3571583, 85725, 23376485, 66404293, 27421, 3525430, 31560013, 66403024, 683270, 4042337], [5488, 1246506, 3885935, 27421, 5843419]]"
3568611,"[[17799, 17791], [17799, 469639, 17791]]"
3620299,"[[80777, 3434750, 899044], [7515928, 26215470]]"
4059685,"[[245423, 900249, 3434750, 17416221, 34421, 5843419], [26779, 347166, 34244, 5042481, 13058]]"
4179959,"[[1262096], [2377550, 23440]]"
4184657,"[[3434750], [40596311]]"
4293656,"[[4689264, 3434750, 5042916, 2288455], [21421637, 208636, 1921, 389363, 332667, 1401135]]"
4413123,"[[1576797, 3434750, 7515928], [40596311, 12786576, 17349645]]"
4512092,"[[66463, 24457252, 737], [47591650, 26835464, 14653, 389363, 30635, 35874309, 25391, 737, 23235, 8238258, 3299139, 208636, 11415404, 23402634, 21484846, 5405, 349303]]"
4513939,"[[3434750, 7515928], [12786576, 40596311, 17349645]]"
4591548,"[[23235], [22281674, 27645462, 6010135, 21017661, 27667756, 44120002, 9087364, 7515928, 37569569, 26215470, 40850508, 48893730, 10813917, 8947933, 1921, 737, 10832740, 23402634]]"
4643078,"[[12745881, 905857, 1966992, 905817, 2227620, 466160, 21391, 21387, 184764, 611381, 2227627, 672930], [52024291, 4322340, 4462025, 44431, 50559711, 3779347, 39192809, 49020788]]"
4750854,"[[3571583], [5336]]"
5043637,"[[32350676, 5488, 1246506, 17238590, 50205972, 31816, 30798271, 5171141, 5171141, 33737886], [17633, 14653, 25391, 683270, 27421, 27429, 3457, 5405, 31018476], [31769, 31769]]"
5083105,"[[56928], [17873743]]"
5174257,"[[14533], [23235]]"
5186673,"[[24525914, 5982949], [4711820, 80408]]"
5663908,"[[4887, 1154854, 2795, 212681, 2105749, 5853, 182803, 32087], [4512092]]"
5861822,"[[3434750], [12786576, 40596311]]"
5883198,"[[23235, 3434750, 14653, 338883], [27667756, 14533, 7515928, 21017661, 26215470]]"
5929904,"[[332667, 737], [14653, 3434750, 737, 2288455, 14131]]"
6107527,"[[31717, 3434750, 7515928, 32087], [12786576, 17349645]]"
6124755,"[[9282173], [13919]]"
6162956,"[[39237, 9282173], [13919]]"
6219306,"[[9282173], [2099335, 13919]]"
6273921,"[[39237, 9282173], [13919]]"
6299231,"[[9282173], [13919]]"
6299613,"[[9282173], [14653, 2099335, 1517643, 13919, 39490756]]"
6344101,"[[39237, 9282173], [13919]]"
6412411,"[[39237, 9282173], [13919]]"
6520313,"[[7515928, 26215470], [3434750]]"
6574209,"[[14653, 3434750, 2163060, 31853, 25391, 23916689, 170131, 1886592, 14533, 30108, 26765428, 11125639, 17518909, 25197884, 198149, 737, 2288455, 16642, 291717], [1921, 69328, 332667, 30635, 1401135, 737, 23235, 8238258, 349303]]"
6600238,"[[48192], [31750, 23564616, 3415]]"
6827180,"[[194200, 3434750, 5042916, 76972, 21148, 737, 31717], [30635, 737]]"
6828277,"[[3434750, 11867, 737, 2288455, 31717], [208636, 30635, 332667, 1401135, 737]]"
7016618,"[[3434750, 5042916, 212681, 21148, 737, 14532, 31717, 28222445], [737, 4512092]]"
7179668,"[[11125639], [26215470]]"
7179803,"[[3434750, 5843419, 31717], [26215470]]"
7192688,"[[1576797, 7515928, 76972], [578961]]"
7490894,"[[3434750, 5042916, 21148, 737, 31717], [30635]]"
7542968,"[[3434750, 7515928], [578961]]"
7550780,"[[7515928], [578961]]"
7733141,"[[39237, 9282173], [40863691, 23943, 11104, 13913]]"
7872571,"[[9282173], [5844475, 40863691, 24093, 747345, 11104, 13913]]"
7900510,"[[7967758], [5488, 3482169, 31769, 3482169, 5478, 13444599]]"
7959095,"[[14653, 13919, 7515849], [9282173]]"
7967099,"[[3434750, 3434750], [40596311, 166957]]"
7977253,"[[32212, 3434750, 7515928, 1576797], [12786576, 17349645, 39955935]]"
8202103,"[[19196675, 27421], [32350676, 6784645, 19196675]]"
8321680,"[[3434750], [40596311, 12786576, 455441]]"
8333214,"[[27145721, 80777, 3434750, 7515928, 899044], [455441, 14145690, 12786576, 166957, 40596311, 1088385, 54263323]]"
8442323,"[[4689264, 365009, 7278792, 341221, 3434750, 24930943, 3966054, 1529105, 19426382, 45690137, 195149, 5222, 19191, 23384265, 76741, 30871819], [23289165, 28884400, 16881931, 37979212, 2642213, 197015, 36056901, 62922090, 31927499, 35006872, 63023414, 3294160, 233729]]"
8461856,"[[3434750], [39955935]]"
8574275,"[[5042916, 76972, 737, 31717, 28222445], [737, 4512092]]"
8601812,"[[1576797, 3434750, 32087], [40596311]]"
8624240,"[[5435324, 18305760], [4503010, 27358, 187749]]"
8740568,"[[25391, 797702], [3252889, 5326401]]"
8745619,"[[25391], [5326401]]"
8818973,"[[3434750, 7515928], [12786576, 40596311]]"
8827766,"[[5435324, 18305760], [3434750, 27358, 5460470, 187749]]"
8885976,"[[9282173], [13093253, 13913, 11104]]"
8963674,"[[3434750, 7515928], [9087364, 40596311, 39955935]]"
9129813,"[[3434750], [26106154, 13919, 4028355]]"
9166102,"[[26215470], [22936, 31717, 3434750]]"
9167938,"[[3434750, 27421, 7515964, 350939, 19291, 349303], [14653, 17240332, 21255, 350939], [9794248, 33653498]]"
9353923,"[[1576797, 4887, 1530705, 3434750, 7515928, 22936, 11401226, 31717, 32087], [39955935, 40596311]]"
9541638,"[[17349325, 3434750], [40596311]]"
9604273,"[[7515928, 3434750, 31717], [9195772]]"
9613270,"[[2288455, 3434750, 737, 31717], [208636, 389363, 30635, 737]]"
9624647,"[[170691, 296412, 3305075, 26779, 3434750, 3319002, 8155615, 21255, 5222], [5171141, 28521], [5183633, 5042481, 5171141]]"
9902040,"[[3434750, 5042916, 76972, 212681, 21148, 737, 22936, 31717], [737, 4512092]]"
10395112,"[[751099, 25391], [8828625]]"
10558427,"[[177451, 25391], [5326401, 622772]]"
10558563,"[[27145721, 3434750, 7515928, 22936, 31717], [578961]]"
11161862,"[[2288455, 3434750, 737], [21421637, 208636, 389363, 30635, 332667, 737]]"
11165839,"[[7515928, 3434750], [578961]]"
11321906,"[[11959956, 17779, 17771], [1646730, 11320004]]"
11416171,"[[3434750, 7515928], [39955935, 40596311]]"
11417094,"[[3434750, 7515928], [40596311]]"
11451690,"[[31717, 5042916, 23033, 737], [737, 4512092]]"
11476780,"[[3434750, 7515928], [40596311]]"
11568789,"[[5435324], [3434750, 233569]]"
11594420,"[[3434750], [40596311]]"
11607508,"[[3434750, 5042916, 76972, 21241, 737, 212681, 31717, 28222445], [737, 4512092]]"
11620890,"[[3434750], [17015903]]"
11794363,"[[3434750], [40596311]]"
11805283,"[[3434750], [40596311]]"
11838714,"[[3434750, 7515928], [40596311]]"
11838899,"[[3434750], [40596311]]"
11839597,"[[3434750], [40596311]]"
11843437,"[[4689264, 3434750, 212681, 737, 21148], [737, 4512092]]"
11847958,"[[3434750, 7515928], [9087364, 39955935]]"
11870000,"[[1576797, 80777, 3434750, 7515928, 11401226, 3285814, 899044], [578961, 39955935, 40596311]]"
11905460,"[[1576797, 3434750], [39955935, 40596311]]"
11919242,"[[1576797, 3434750], [39955935, 40596311]]"
12070507,"[[32131564, 4611195, 23235, 1965925], [2816470]]"
12159978,"[[3434750], [17015903]]"
12202103,"[[23448, 23440, 6032540], [2216, 51673]]"
12209826,"[[3434750, 7515928], [39955935, 40596311]]"
12275316,"[[7515928], [40596311]]"
12283953,"[[1576797, 3434750, 32087], [40596311]]"
12284092,"[[1576797, 3434750, 32087], [40596311]]"
12284609,"[[1576797, 3434750, 32087], [40596311]]"
12292492,"[[1576797, 3434750, 32087], [40596311]]"
12293221,"[[3434750, 1576797], [40596311]]"
12297779,"[[1576797, 3434750, 32087], [40596311, 12786576, 17349645]]"
12311398,"[[1576797, 3434750], [39955935, 40596311]]"
12378554,"[[23235], [18953699]]"
12490987,"[[7515928, 3434750], [54263323, 14145690, 12786576, 26215470, 40596311]]"
12531279,"[[194200, 3434750, 76972, 212681, 737, 31717, 28222445], [737, 4512092]]"
12632266,"[[3434750], [40596311]]"
12668626,"[[3434750, 212681, 737], [737, 4512092]]"
12726355,"[[25679, 3434750, 5042916, 212681, 737, 31717], [4512092]]"
12749599,"[[1576797, 3434750, 32087], [578961, 39955935, 40596311]]"
12840745,"[[3434750], [39955935]]"
12945449,"[[19127, 21373], [19655, 13113521]]"
12988220,"[[7515928, 26215470], [4689264, 31717, 3434750, 22936]]"
12993629,"[[7515928, 22936, 3415], [578961]]"
13004473,"[[187749], [1662934]]"
13033426,"[[31717, 76972, 17675], [40596311]]"
13036424,"[[9366, 34399], [26667]]"
13153771,"[[38235695, 5488, 17633, 9317, 30188, 21373, 18778516, 31769, 358, 39280286, 19127, 19291, 5843419, 38264234], [46213555, 8678118, 55577612, 30875850, 10593562, 53401088, 34959730, 9087364, 61369191, 23769768, 9087364, 33653498, 35175793, 3373084, 53150866, 43965682]]"
13311272,"[[3434750, 7515928, 22936, 14532, 31717], [40596311]]"
13461783,"[[18933375, 11447628], [17238515, 5326401, 6095]]"
13582438,"[[3457], [5843419]]"
13635800,"[[23235], [18953699]]"
13728092,"[[23408142], [18606]]"
13759569,"[[6186841], [3293496]]"
13769741,"[[23408142], [18606]]"
13844123,"[[3434750, 5042916, 76972, 212681, 21148, 737, 31717, 28222445], [737, 4512092]]"
13848724,"[[11125639], [69680]]"
13989454,"[[3434750], [17015903]]"
14093307,"[[31717], [578961]]"
14462948,"[[27019], [21255]]"
14463377,"[[21255], [15573]]"
14479401,"[[21475491], [23444, 23440]]"
14609626,"[[23408142], [18606]]"
14626591,"[[194200, 3434750, 76972, 212681, 737, 31717, 28222445], [737, 4512092]]"
14687290,"[[25645, 19975146, 343174, 76762], [1015555, 1676875, 1199752, 3343, 8029, 76762, 31769, 38726671, 3457, 3464, 5843419, 34399, 701], [55504268, 38726671, 8120949, 1676875], [65944638, 62473340, 61369191, 60428257, 60425185, 1258240, 64013544]]"
14892954,"[[600792, 6715199, 6186841], [3293496]]"
14924212,"[[2503, 284376, 12774849, 347166, 5042481], [3434750, 245423, 17416221, 900249]]"
15139564,"[[3434750, 17238515, 7515928, 17238515, 31717], [39955935, 40596311]]"
15177482,"[[3434750], [14653]]"
15311097,"[[7515928], [9195772]]"
15552798,"[[7575877, 7575877, 2081585], [5336, 1246506, 15552650, 10724]]"
15802807,"[[26667, 13275, 21241, 11867, 737, 14532, 17514], [4512092]]"
15853129,"[[23408142], [18606]]"
15893388,"[[11125639], [3969667, 69680]]"
16101018,"[[65220], [746]]"
16256457,"[[30118, 10634933, 5403, 3434750, 27421, 27278, 5843419, 5171141], [184799]]"
16330318,"[[14579], [319778]]"
16346266,"[[311752, 3434750, 27619007, 9282173], [13093253, 57824112, 14653, 12047, 40067475, 8238258, 27421, 11125639, 478947, 39490756, 13919, 13913], [19360285, 23187771, 1921, 37278116, 748820, 11828683, 9087364, 24253402, 40902522, 9087364, 478947, 46875815, 23995791]]"
16456087,"[[19370359, 14533, 14653, 3434750, 19370359, 8238258, 27421, 7515964, 350939, 8087628, 7826589], [7515890, 26215470, 22316, 7515928, 5405, 5042481, 21255, 726148, 7848288, 17771, 718749, 349303, 5171141, 69328]]"
16475950,"[[3434750, 22936, 7515928, 31717], [578961]]"
16562878,"[[31717, 76972], [578961]]"
16567794,"[[679693, 1441792], [3807978, 578961, 27344057]]"
16795536,"[[3434750, 7515928, 3434750, 27145721, 31717], [7515928, 578961]]"
17327836,"[[177909, 2673836], [1337691, 15484477, 11592852, 1517643, 13919]]"
17359661,"[[1246506], [27421]]"
17431166,"[[891213], [69713], [2840342]]"
17435879,"[[274262], [455441]]"
17455653,"[[1576797, 3434750, 7515928], [39955935, 40596311]]"
17643749,"[[194200, 5573, 3434750, 21241, 737, 11867, 212681], [737, 4512092]]"
17897316,"[[7515928, 3434750], [7515928, 12786576, 40596311, 17349645]]"
17932058,"[[13327465, 737], [737, 4512092]]"
17944049,"[[17238590], [17207794]]"
18002976,"[[16998586], [16660, 188171]]"
18004830,"[[5042916, 212681, 737], [737, 4512092]]"
18049021,"[[3454], [2012896, 14533]]"
18381857,"[[12968316], [5460470, 27358, 187749]]"
18424092,"[[3434750, 737], [30635, 737]]"
18501416,"[[334751], [30128]]"
18613497,"[[3434750], [26215470]]"
18644584,"[[3434750, 7515928], [39955935, 40596311]]"
18698008,"[[2905770, 199866], [80777, 3434750, 899044]]"
18724982,"[[26215470], [3434750]]"
18738771,"[[7515928], [3434750]]"
18753258,"[[748820, 40596311, 166957], [7515928, 3434750]]"
18762503,"[[18933375, 25391, 318381], [17238515]]"
18767118,"[[7515928, 26215470], [3434750, 31717]]"
18780574,"[[17238515, 17238515], [25391, 318381]]"
18786171,"[[18933375, 25391], [17238515, 17238515]]"
18804184,"[[23235], [18953699, 21421637, 1921]]"
18806193,"[[23448, 1313055, 23440], [51673]]"
18836853,"[[25391], [17238515]]"
18872578,"[[25391], [17238515]]"
18872964,"[[25391, 318381], [17238515]]"
19172835,"[[4689264, 3434750, 5042916, 76972, 212681, 21148, 737, 31717, 5843419], [737, 4512092]]"
19283703,"[[27019, 13394, 25391, 7515849, 5042481, 3462, 69017, 5489], [3462, 13599262]]"
19351503,"[[3607937, 5843419, 11867], [17015903]]"
19441278,"[[3434750, 1576797], [39955935]]"
19468315,"[[39237, 9282173], [13093253, 40863691, 24093, 747345, 13913]]"
19698336,"[[39237, 9282173], [13093253, 40863691, 24093, 747345, 14095229, 11104, 13913]]"
19913192,"[[841673], [48192], [21133]]"
19949656,"[[3434750], [9087364, 39955935]]"
19968880,"[[19975146], [1015555, 1676875, 1199752, 76762, 25645, 31769, 34399, 701]]"
20189955,"[[31717], [17015903, 27358]]"
20596738,"[[5593, 25445, 10577, 5843419, 31717, 27338, 5573, 12108, 11867, 3415, 22936, 29265, 5321, 26667, 4913064, 21148, 17675, 5058739, 9317, 19137, 3343, 21241, 14532, 23033], [27358, 17015903]]"
20695266,"[[32350676, 31816, 76762], [17873743]]"
20789951,"[[4689264], [40596311]]"
20855562,"[[311752, 39237, 9282173], [13093253, 1703333, 40863691, 12047, 3704049, 2082587, 11104, 478947, 39490756, 13913]]"
20923781,"[[26750, 23408142], [7439782, 18606]]"
20975711,"[[3434750, 7515928], [40596311]]"
21028519,"[[21133, 212681, 737], [737, 4512092]]"
21032323,"[[26750, 23408142], [7439782, 18606]]"
21103386,"[[31717, 5042916, 212681, 737], [737, 4512092]]"
21248868,"[[26750, 23408142], [7439782, 18606]]"
21257070,"[[3434750], [737, 4512092]]"
21257379,"[[25645, 76762], [1199752, 1676875, 76762]]"
21376149,"[[13913], [11104]]"
21592882,"[[13327465, 212681, 737], [737, 4512092]]"
21599097,"[[31717, 737], [737, 4512092]]"
21636599,"[[14533, 59425847, 7171338, 60005908, 3165476, 7651680, 451855], [666980, 14067361, 41857550, 25380421, 37268705, 408215, 6559241, 43001917, 858586]]"
21690685,"[[12968316], [5460470, 13232219, 27358]]"
21709282,"[[2631749, 2342752, 3454, 19522007], [2342752]]"
22078215,"[[39237, 9282173], [24093]]"
22364050,"[[5843419, 11867], [17015903]]"
22580837,"[[3434750, 398698], [748820, 40596311]]"
22647342,"[[23408142], [18606]]"
22689297,"[[12065], [22695550]]"
22764735,"[[23376485], [5488]]"
22787370,"[[21462079, 1921, 12968316, 18305760], [5460470, 7003026, 13232219, 27358]]"
22812933,"[[23235], [21421637, 18953699]]"
22833814,"[[3434750, 3343, 11867, 737, 21241, 5058739], [737, 4512092]]"
22849811,"[[194200, 3434750, 212681, 737, 5843419], [30635, 737]]"
22861555,"[[21462079, 12968316, 18305760], [27358, 13232219, 5460470, 187749, 25539959]]"
22937234,"[[23235], [21421637, 17052695, 1921, 18953699]]"
22954466,"[[3434750], [30635, 332667, 737]]"
22972195,"[[3434750, 31717], [30635, 332667, 737]]"
22972419,"[[2288455, 3434750, 737], [332667, 737]]"
22972637,"[[3434750, 737], [30635, 332667, 737]]"
22997607,"[[2288455, 3434750, 737], [389363, 30635, 332667, 737]]"
23010233,"[[4689264, 3434750, 2288455, 737], [30635, 332667, 737]]"
23026950,"[[23235, 1965925, 377433], [21421637, 18953699]]"
23099057,"[[1504778, 2905770, 199866], [3434750, 32087, 70789, 25659771]]"
23125806,"[[1908022], [8552361]]"
23134391,"[[21462079, 12968316], [25539959]]"
23182397,"[[23408142], [18606]]"
23182882,"[[23408142], [18606]]"
23183180,"[[23408142], [18606]]"
23218495,"[[19196675], [23219543]]"
23278974,"[[23235, 23369], [11415404, 18953699, 389363, 1921, 18305760]]"
23465645,"[[3434750, 737, 31717, 32087], [737, 4512092]]"
23478866,"[[3434750, 76972, 212681, 737, 31717, 28222445], [737, 4512092]]"
23495011,"[[3434750, 17238515, 31717, 32087, 28222445], [737, 4512092]]"
23763694,"[[23769768], [21383]]"
23965053,"[[3434750, 737, 212681, 31717], [737, 4512092]]"
23990847,"[[23995791], [13913]]"
24091465,"[[26667], [19291]]"
24146406,"[[45417217, 2039914, 43811375], [19457, 2225578]]"
24190670,"[[23235], [17052695, 737]]"
24368840,"[[3434750], [12968316]]"
24417962,"[[350939], [34252, 17240332]]"
24549387,"[[19291, 349303, 5428354, 350939], [17240332, 14653, 21255, 13919, 4028355]]"
24572139,"[[3434750, 737, 17514], [737, 4512092]]"
25031296,"[[21255], [27019]]"
25221071,"[[6266060, 34252, 350939], [54251566, 26091881, 56524477, 718749]]"
25310304,"[[3434750, 32087, 76972, 737], [1921, 737, 4512092]]"
25523989,"[[25537178], [25645, 31769, 1015555, 76762]]"
25671580,"[[17238590], [187749]]"
25701298,"[[4689264, 3434750], [737, 4512092]]"
25816542,"[[4055099, 14204350, 34929376, 8238258, 12968316, 33653498, 349303], [17240332, 350939, 14653, 3434750, 6266060, 22316, 25391, 17238590, 34252, 8238258, 21255, 5042481, 350939, 3457, 13919, 7515849], [44173900, 9087364, 8238258, 9087364, 349303]]"
25817108,"[[21462079], [5460470, 25539959, 27358]]"
26066124,"[[194200, 3434750, 5042916, 76972, 28222445, 737, 31717, 5843419], [1921, 30635, 25604038, 737]]"
26220679,"[[408215], [4544401, 14533]]"
26220937,"[[408215], [31725421, 14533]]"
26222570,"[[408215], [14533]]"
26247682,"[[21373, 19054645, 5843419], [21373]]"
26344779,"[[347166], [245423]]"
26461915,"[[9282173], [13919]]"
26507368,"[[31717], [578961]]"
26515586,"[[553883, 14533], [408215]]"
26539087,"[[21462079, 18305760], [27358, 9317, 27358, 3434750, 13232219, 7003026, 5460470, 25539959]]"
26633867,"[[3434750, 5042916], [737, 4512092]]"
26707550,"[[27019, 2284275], [30858905, 21255]]"
26779293,"[[27288], [17015903]]"
26809465,"[[23235], [21421637, 18953699, 737]]"
26850684,"[[217152], [451855, 14533]]"
26862705,"[[167928, 26215470, 26215470], [3434750, 30860668]]"
26986044,"[[3434750, 27308], [17015903]]"
26993919,"[[26667], [17015903]]"
27104256,"[[19196675], [2987149, 27429]]"
27378362,"[[194200, 13327465, 212681, 737], [737, 4512092]]"
27473374,"[[58236, 3434750, 15660, 7796506, 1238462], [27493775]]"
27700648,"[[1646705, 37778, 389363, 31853, 30108, 274262, 102724], [31853, 32240], [14653, 3434750, 198149, 25391, 16642, 11125639, 5405, 31137111]]"
27738531,"[[4689264, 3434750, 737], [737, 4512092]]"
27824818,"[[928722, 10918072, 65220], [746]]"
27868253,"[[73374, 5488, 44984997, 5447, 21373, 21383, 41312023], [30875850, 30635, 16055614, 23769768, 12968316, 9087364, 38286904]]"
27936150,"[[25645], [31816]]"
27949964,"[[4689264, 26328, 383258, 2933920], [17015903]]"
27952630,"[[21148], [17015903, 27358]]"
28277285,"[[188171], [12968316]]"
28398705,"[[3434750, 31717], [12786576]]"
28749233,"[[4689264, 3434750, 212681, 737], [737, 4512092]]"
28879627,"[[23408142], [18606]]"
29135348,"[[27145721, 7515928, 3434750], [7515928, 40596311]]"
29534147,"[[19457], [504351, 48492933]]"
29715626,"[[21255], [27019, 27019]]"
29775334,"[[198100, 25504247, 2361410, 21254238, 3383, 1042168, 25936, 26925289, 764251, 3637], [80408, 5172177]]"
29777421,"[[10918072], [746]]"
29790491,"[[3434750, 737], [737, 4512092]]"
29938803,"[[3434750, 5042916, 737], [737, 4512092]]"
29946418,"[[4689264, 3434750, 212681, 737], [737, 4512092]]"
30112358,"[[350939], [17240332]]"
30132285,"[[3434750, 5042916, 737], [14653, 4028355, 737, 4512092]]"
30158583,"[[1576797, 7515928, 3434750, 7515928, 11273902, 2076117], [455441, 40596311, 166957]]"
